Corazones de humo _cast_member,imdb_page
Directed by 
 Enrique Estévez ,https://www.imdb.com//name/nm0261956/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Enrique Estévez ,https://www.imdb.com//name/nm0261956/?ref_=ttfc_fc_wr1
 Juan Pablo Villaseñor ,https://www.imdb.com//name/nm0898138/?ref_=ttfc_fc_wr2
Produced by 
 Gerardo Lara ,https://www.imdb.com//name/nm0487909/?ref_=ttfc_fc_cr2
Cinematography by 
 Eduardo Herrera ,https://www.imdb.com//name/nm1463854/?ref_=ttfc_fc_cr3
Film Editing by 
 Enrique Estévez ,https://www.imdb.com//name/nm0261956/?ref_=ttfc_fc_cr4
