Ellas también son rebeldes _cast_member,imdb_page
Directed by 
 Alejandro Galindo ,https://www.imdb.com//name/nm0302143/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Alejandro Galindo ,https://www.imdb.com//name/nm0302143/?ref_=ttfc_fc_wr1
Produced by 
 Alfonso Morones A. ,https://www.imdb.com//name/nm0606050/?ref_=ttfc_fc_cr2
 Juan José Ortega ,https://www.imdb.com//name/nm0650900/?ref_=ttfc_fc_cr3
Cinematography by 
 Rosalío Solano ,https://www.imdb.com//name/nm0812675/?ref_=ttfc_fc_cr4
Film Editing by 
 Fernando Martínez ,https://www.imdb.com//name/nm0555098/?ref_=ttfc_fc_cr5
Production Design by 
 Gunther Gerszo ,https://www.imdb.com//name/nm0314957/?ref_=ttfc_fc_cr6
Set Decoration by 
 José G. Jara ,https://www.imdb.com//name/nm0418520/?ref_=ttfc_fc_cr7
Makeup Department 
 Felisa Ladrón de Guevara ,https://www.imdb.com//name/nm1380645/?ref_=ttfc_fc_cr8
 María Salazar ,https://www.imdb.com//name/nm0757734/?ref_=ttfc_fc_cr9
Production Management 
 Alfonso Morones A. ,https://www.imdb.com//name/nm0606050/?ref_=ttfc_fc_cr11
Second Unit Director or Assistant Director 
 Jesús Merino ,https://www.imdb.com//name/nm6696204/?ref_=ttfc_fc_cr12
Camera and Electrical Department 
 Felipe Quintanar ,https://www.imdb.com//name/nm0704143/?ref_=ttfc_fc_cr13
 Antonio Solano ,https://www.imdb.com//name/nm0812652/?ref_=ttfc_fc_cr14
 Hugo Velasco ,https://www.imdb.com//name/nm0892281/?ref_=ttfc_fc_cr15
