Title	Year	Director	Genre	Award Noms	Award Wins	IMDb Page
Volando bajo 	2014	Beto Gómez	fiction			https://www.imdb.com/title/tt2504690/?ref_=nv_sr_srsg_0
Alicia más allá del abismo	2015	Abril Schmucler	documentary			https://es.wikipedia.org/wiki/Alicia_m%C3%A1s_all%C3%A1_del_abismo
Eddie Reynolds y los Ángeles de Acero 	2015	Gustavo Moheno	fiction	9	1	https://www.imdb.com/title/tt3345450/?ref_=nv_sr_srsg_0
Zoé: Panoramas 	2017	Gabriel Cruz Rivas & Rodrigo Guardiola	documentary			https://www.imdb.com/title/tt5158844/?ref_=nv_sr_srsg_0
En la perferia 	2018	Alberto Zúñiga	documentary			https://www.imdb.com/title/tt6840402/?ref_=nv_sr_srsg_1
Rita, el documental 	2018	Arturo Díaz Santana	documentary			https://www.imdb.com/title/tt8781964/?ref_=nv_sr_srsg_0
Esto no es Berlín 	2019	Hari Sama	fiction	22	5	https://www.imdb.com/title/tt7666724/?ref_=nv_sr_srsg_0
Soy yo, Charlie Montanna 	2020	Ernesto Manuel Méndez Alvarado	documentary			https://www.imdb.com/title/tt13995740/?ref_=nv_sr_srsg_0
La diosa del asfalto 	2020	Julián Hernández	fiction	4		https://www.imdb.com/title/tt12025688/?ref_=nv_sr_srsg_0
Aquí no pasaba nada. La historia de Dangerous Rhythm 	2020	Pilar Ortega	documentary			https://docs-enlinea.com/fichas/aqui-no-pasaba-nada-la-historia-de-dangerous-rhythm
El sueño de ayer	2022	Emilio Maillé	fiction			https://www.imdb.com/title/tt12878292/
