
Rodrigo Oviedo,Cornelio Barraza,https://www.imdb.com//name/nm0654012/?ref_=ttfc_fc_cl_i14
Malillany Marín,Estrellita Martinez,https://www.imdb.com//name/nm1970019/?ref_=ttfc_fc_cl_i15
Ingrid Martz,Eva Inés Casanova,https://www.imdb.com//name/nm0554456/?ref_=ttfc_fc_cl_i16
Francisco Payó González,young Bruno Sánchez Félix,https://www.imdb.com//name/nm1520017/?ref_=ttfc_fc_cl_i17
Wendy Braga,Yolanda Del Mar,https://www.imdb.com//name/nm1785083/?ref_=ttfc_fc_cl_i18
Luca Ortega,Drummer,https://www.imdb.com//name/nm6122057/?ref_=ttfc_fc_cl_i19
Pascual Reyes ,https://www.imdb.com//name/nm4726590/?ref_=ttfc_fc_cl_i20
Bruna Cavalheiro,Roberta Ventura,https://www.imdb.com//name/nm8231551/?ref_=ttfc_fc_cl_i21
Genia Santini,Tv show host,https://www.imdb.com//name/nm5844703/?ref_=ttfc_fc_cl_i22
Amanda Rosa,Wanda Dos Santos,https://www.imdb.com//name/nm3099982/?ref_=ttfc_fc_cl_i23
Felipe Garcia Naranjo,Tony,https://www.imdb.com//name/nm2409736/?ref_=ttfc_fc_cl_i24
Jacinto Marina,Fefugio Miranda,https://www.imdb.com//name/nm5411265/?ref_=ttfc_fc_cl_i25
Roberto Espejo,Lissandro Beltrani,https://www.imdb.com//name/nm0260859/?ref_=ttfc_fc_cl_i26
Héctor Gutiérrez,Cornelio Niño,https://www.imdb.com//name/nm6511982/?ref_=ttfc_fc_cl_i27
Lorenza Aldrete,Muñeca Perez Robles,https://www.imdb.com//name/nm5408520/?ref_=ttfc_fc_cl_i28
Dan Rovzar,Gaston Silvestre,https://www.imdb.com//name/nm3542829/?ref_=ttfc_fc_cl_i29
Nora Parra,Sor Maria,https://www.imdb.com//name/nm0663406/?ref_=ttfc_fc_cl_i30
Elias Visaiz,Sonidista,https://www.imdb.com//name/nm4345451/?ref_=ttfc_fc_cl_i31
Brian Hatch,Priest,https://www.imdb.com//name/nm4646003/?ref_=ttfc_fc_cl_i32


###

Ellas también son rebeldes _cast,role,imdb_page
Lorena Velázquez,Irene Barreto,https://www.imdb.com//name/nm0892816/?ref_=ttfc_fc_cl_i1
Martha Elena Cervantes,Graciela Elizondo,https://www.imdb.com//name/nm0149008/?ref_=ttfc_fc_cl_i2
Silvia Suárez,Tere Rentería,https://www.imdb.com//name/nm0840836/?ref_=ttfc_fc_cl_i3
María Eugenia San Martín,Raquelito,(as Ma. Eugenia San Martin),,,https://www.imdb.com//name/nm0760709/?ref_=ttfc_fc_cl_i4
Ignacio López Tarso,Dr. Gabriel Rentería,https://www.imdb.com//name/nm0529964/?ref_=ttfc_fc_cl_i5
David Silva,Comandante policía,https://www.imdb.com//name/nm0798270/?ref_=ttfc_fc_cl_i6
Miguel Manzano,Don Rafael Elizondo,https://www.imdb.com//name/nm0544443/?ref_=ttfc_fc_cl_i7
Roberto Cañedo,Javier Montalban,https://www.imdb.com//name/nm0147436/?ref_=ttfc_fc_cl_i8
Anita Blanch,Cristina Elizondo,https://www.imdb.com//name/nm0087003/?ref_=ttfc_fc_cl_i9
Carlos Nieto,Roberto,https://www.imdb.com//name/nm0631287/?ref_=ttfc_fc_cl_i10
Pilar Sen,Lolita Renteria,https://www.imdb.com//name/nm0784023/?ref_=ttfc_fc_cl_i11
Guillermo Rivas,Ramiro,https://www.imdb.com//name/nm0729061/?ref_=ttfc_fc_cl_i12
María Teresa Rivas,Margarita Godínez,https://www.imdb.com//name/nm0729095/?ref_=ttfc_fc_cl_i13
Lucero Taboada,Alicia,(as niña Lucero Taboada),,,https://www.imdb.com//name/nm1417147/?ref_=ttfc_fc_cl_i14
Rosina Navarro,Berta (amiga de Irene),https://www.imdb.com//name/nm0623010/?ref_=ttfc_fc_cl_i15
Bruno Márquez,Agente Reyes,https://www.imdb.com//name/nm0617292/?ref_=ttfc_fc_cl_i16
Mónica Serna,Amiga de Graciela,https://www.imdb.com//name/nm0785275/?ref_=ttfc_fc_cl_i17
Manuel Dondé,Agente policía,https://www.imdb.com//name/nm0232375/?ref_=ttfc_fc_cl_i18
Ignacio Martinez Carpinteiro,Locutor radio,https://www.imdb.com//name/nm1416303/?ref_=ttfc_fc_cl_i19
Fanny Schiller,Carito (dueña salón belleza),https://www.imdb.com//name/nm0771641/?ref_=ttfc_fc_cl_i20
Rafael Estrada,Abogado de Javier,https://www.imdb.com//name/nm0261854/?ref_=ttfc_fc_cl_i21
Javier de la Parra,Amigo de Roberto,https://www.imdb.com//name/nm0663391/?ref_=ttfc_fc_cl_i22
Armando Acosta,Periodista,(uncredited),,,https://www.imdb.com//name/nm0010162/?ref_=ttfc_fc_cl_i23
León Barroso,Periodista,(uncredited),,,https://www.imdb.com//name/nm0057814/?ref_=ttfc_fc_cl_i24
José Chávez Abundiz,Abogado de Irene,(uncredited),,,https://www.imdb.com//name/nm0161623/?ref_=ttfc_fc_cl_i25
Cuca Dublan,Secretaria de Dr. Rentería,(uncredited),,,https://www.imdb.com//name/nm1006888/?ref_=ttfc_fc_cl_i26
Ricardo Echegaray,Acompañante de Irene Cabaret,(uncredited),,,https://www.imdb.com//name/nm9342895/?ref_=ttfc_fc_cl_i27
Mario García González,Licenciado,(uncredited),,,https://www.imdb.com//name/nm0305677/?ref_=ttfc_fc_cl_i28
Emilio Garibay,Policía,(uncredited),,,https://www.imdb.com//name/nm0307404/?ref_=ttfc_fc_cl_i29
David Hayat,Amigo de Graciela,(uncredited),,,https://www.imdb.com//name/nm0169320/?ref_=ttfc_fc_cl_i30
Sonia Infante,Joven en fiesta,(uncredited),,,https://www.imdb.com//name/nm0408631/?ref_=ttfc_fc_cl_i31
Blanca Estela Limón,Empleada salón de belleza,(uncredited),,,https://www.imdb.com//name/nm0261576/?ref_=ttfc_fc_cl_i32
José Loza,Representante de laboratorios,(uncredited),,,https://www.imdb.com//name/nm0523502/?ref_=ttfc_fc_cl_i33
Celia Manzano,Señora Beba,(uncredited),,,https://www.imdb.com//name/nm1051861/?ref_=ttfc_fc_cl_i34
José Antonio Marros,Acompañante de Berta cabaret,(uncredited),,,https://www.imdb.com//name/nm0550262/?ref_=ttfc_fc_cl_i35
Francisco Meneses,Periodista,(uncredited),,,https://www.imdb.com//name/nm0351074/?ref_=ttfc_fc_cl_i36
Alejandra Meyer,Rebeca,(uncredited),,,https://www.imdb.com//name/nm0562324/?ref_=ttfc_fc_cl_i37
Kika Meyer,Ticha (clienta salón de belleza),(uncredited),,,https://www.imdb.com//name/nm0583239/?ref_=ttfc_fc_cl_i38
Carlos Robles Gil,Hombre en cantina,(uncredited),,,https://www.imdb.com//name/nm0733302/?ref_=ttfc_fc_cl_i39
Aurora Zermeño,Clienta salón de belleza,(uncredited),,,https://www.imdb.com//name/nm0955083/?ref_=ttfc_fc_cl_i40


###

Naco es chido _cast,role,imdb_page
Sergio Arau,El Uyuyuy,https://www.imdb.com//name/nm0033190/?ref_=ttfc_fc_cl_i1
Yareli Arizmendi,Macuca,https://www.imdb.com//name/nm0034976/?ref_=ttfc_fc_cl_i2
Flavia Atencio,Srta. Secretaria,https://www.imdb.com//name/nm2136480/?ref_=ttfc_fc_cl_i3
Francisco Barrios,Self,https://www.imdb.com//name/nm1942375/?ref_=ttfc_fc_cl_i4
Francisco Barrios,El mastuerzo,https://www.imdb.com//name/nm3393870/?ref_=ttfc_fc_cl_i5
Lety Gómez,Doña Pina,(as Leticia Gómez Rivera),,,https://www.imdb.com//name/nm0350965/?ref_=ttfc_fc_cl_i6
Carlos Manzo,Fellini,https://www.imdb.com//name/nm0544497/?ref_=ttfc_fc_cl_i7
Gina Morett,Angie,(as Gina Moret),,,https://www.imdb.com//name/nm0604294/?ref_=ttfc_fc_cl_i8
Gerardo Ott,Self,https://www.imdb.com//name/nm3069704/?ref_=ttfc_fc_cl_i9
Luis Romano,Mastuerzo Joven,https://www.imdb.com//name/nm2624175/?ref_=ttfc_fc_cl_i10
Rafael Sigler,Locutor.,https://www.imdb.com//name/nm2292836/?ref_=ttfc_fc_cl_i11
Armando Vega Gil,El Cucurrucucu,https://www.imdb.com//name/nm0891771/?ref_=ttfc_fc_cl_i12


###

Surf, o tronar… _cast,role,imdb_page


###

Rigo es amor _cast,role,imdb_page
Rigo Tovar,Rigo,https://www.imdb.com//name/nm0869840/?ref_=ttfc_fc_cl_i1
Pilar Pellicer,La Tulipana,https://www.imdb.com//name/nm0671185/?ref_=ttfc_fc_cl_i2
Angélica Chain,Arcadia,https://www.imdb.com//name/nm0149711/?ref_=ttfc_fc_cl_i3
Rafael Inclán,El Güiro,https://www.imdb.com//name/nm0408476/?ref_=ttfc_fc_cl_i4
María Martín,Madame,https://www.imdb.com//name/nm0554726/?ref_=ttfc_fc_cl_i5
Eduardo Alcaraz,El Gallino,(as Eduardo Arcaraz),,,https://www.imdb.com//name/nm0017171/?ref_=ttfc_fc_cl_i6
Silvano Tovar,Conjunto Costa Azul,https://www.imdb.com//name/nm1949492/?ref_=ttfc_fc_cl_i7
José Ángel Tovar,Conjunto Costa Azul,https://www.imdb.com//name/nm0616437/?ref_=ttfc_fc_cl_i8
César Alejandro Herrera,Conjunto Costa Azul,https://www.imdb.com//name/nm1947079/?ref_=ttfc_fc_cl_i9
Silverio Delgado,Conjunto Costa Azul,https://www.imdb.com//name/nm1949486/?ref_=ttfc_fc_cl_i10
Ricardo Rivera,Conjunto Costa Azul,https://www.imdb.com//name/nm1945985/?ref_=ttfc_fc_cl_i11
Juan Puebla,Conjunto Costa Azul,https://www.imdb.com//name/nm1948548/?ref_=ttfc_fc_cl_i12
Juan Jiménez,Conjunto Costa Azul,https://www.imdb.com//name/nm1947407/?ref_=ttfc_fc_cl_i13
Jorge Dávila,, (uncredited),,,https://www.imdb.com//name/nm0246289/?ref_=ttfc_fc_cl_i14
Ángel Macías,, (uncredited),,,https://www.imdb.com//name/nm0998983/?ref_=ttfc_fc_cl_i15
Edgar Pavon,, (uncredited),,,https://www.imdb.com//name/nm0667925/?ref_=ttfc_fc_cl_i16
César Sobrevals,, (uncredited),,,https://www.imdb.com//name/nm0811913/?ref_=ttfc_fc_cl_i17


###

Juventud desenfrenada _cast,role,imdb_page
Luz María Aguilar,Rosa Lara,https://www.imdb.com//name/nm0013567/?ref_=ttfc_fc_cl_i1
Olivia Michel,Aurelia,https://www.imdb.com//name/nm0584897/?ref_=ttfc_fc_cl_i2
Margo Su,Somiko Lee,(as Margo),,,https://www.imdb.com//name/nm0836783/?ref_=ttfc_fc_cl_i3
Hilda Vilalta,Laura,https://www.imdb.com//name/nm0990100/?ref_=ttfc_fc_cl_i4
Álvaro Ortiz,Eduardo,https://www.imdb.com//name/nm0651281/?ref_=ttfc_fc_cl_i5
Alfonso Mejía ,https://www.imdb.com//name/nm0577219/?ref_=ttfc_fc_cl_i6
Antonio de Hud,Carlos,https://www.imdb.com//name/nm0399628/?ref_=ttfc_fc_cl_i7
