Los jóvenes _cast,role,imdb_page
Tere Velázquez,Olga,https://www.imdb.com//name/nm0892834/?ref_=ttfc_fc_cl_i1
Julio Alemán,Lorenzo Gómez, El Gato,https://www.imdb.com//name/nm0006842/?ref_=ttfc_fc_cl_i2
Adriana Roel,Alicia,https://www.imdb.com//name/nm0736342/?ref_=ttfc_fc_cl_i3
Rafael del Río,Gabriel Souza,https://www.imdb.com//name/nm0215903/?ref_=ttfc_fc_cl_i4
Dacia González,Amiga de Alicia,https://www.imdb.com//name/nm0328112/?ref_=ttfc_fc_cl_i5
Fanny Schiller,Carmelita, Madre de 'El Gato',https://www.imdb.com//name/nm0771641/?ref_=ttfc_fc_cl_i6
Miguel Manzano,Don Fernando, papá de Alicia,https://www.imdb.com//name/nm0544443/?ref_=ttfc_fc_cl_i7
Leopoldo Salazar ,https://www.imdb.com//name/nm0282922/?ref_=ttfc_fc_cl_i8
Óscar Cuéllar,Héctor,https://www.imdb.com//name/nm0194107/?ref_=ttfc_fc_cl_i9
Rosa María Gallardo,Amiga rubia de Alicia,(as Rosa Ma. Gallardo),,,https://www.imdb.com//name/nm0302625/?ref_=ttfc_fc_cl_i10
Arcelia Larrañaga ,https://www.imdb.com//name/nm0488584/?ref_=ttfc_fc_cl_i11
Miguel Suárez,Amigo de Raúl,https://www.imdb.com//name/nm0840821/?ref_=ttfc_fc_cl_i12
Sonia Infante,Gloria,https://www.imdb.com//name/nm0408631/?ref_=ttfc_fc_cl_i13
Lupe Carriles,Mujer casa de empeño,https://www.imdb.com//name/nm0140460/?ref_=ttfc_fc_cl_i14
David Hayat ,https://www.imdb.com//name/nm0169320/?ref_=ttfc_fc_cl_i15
Miguel Zaldivar,, (as Miguel Zaldivar R.),,,https://www.imdb.com//name/nm1577439/?ref_=ttfc_fc_cl_i16
Nicolás Rodríguez hijo,Amigo de el gato,(as Nicolas Rodriguez),,,https://www.imdb.com//name/nm0735637/?ref_=ttfc_fc_cl_i17
Guillermo Herrera,Bobby,https://www.imdb.com//name/nm0380417/?ref_=ttfc_fc_cl_i18
Enrique Rambal,Don Raúl, padre de Gabriel,https://www.imdb.com//name/nm0708048/?ref_=ttfc_fc_cl_i19
Carmen Montejo,Rosa, Madre de Alicia,https://www.imdb.com//name/nm0599269/?ref_=ttfc_fc_cl_i20
Arturo Castro 'Bigotón',Policía,(uncredited),,,https://www.imdb.com//name/nm0145443/?ref_=ttfc_fc_cl_i21
Jesús Gómez,Policía,(uncredited),,,https://www.imdb.com//name/nm0327026/?ref_=ttfc_fc_cl_i22
Carlos León,Manuel, hombre golpeado,(uncredited),,,https://www.imdb.com//name/nm0502457/?ref_=ttfc_fc_cl_i23
León Michel,Locutor televisión,(uncredited),,,https://www.imdb.com//name/nm0584873/?ref_=ttfc_fc_cl_i24
