Una papa sin cátsup _cast,role,imdb_page
Gloria Trevi,Gloria Trevi /La Greñas,https://www.imdb.com//name/nm0872381/?ref_=ttfc_fc_cl_i1
Marco Bacuzzi,Cholo,https://www.imdb.com//name/nm0045888/?ref_=ttfc_fc_cl_i2
Armando Araiza ,https://www.imdb.com//name/nm0032843/?ref_=ttfc_fc_cl_i3
Guido Bolanos,Perry,https://www.imdb.com//name/nm0092710/?ref_=ttfc_fc_cl_i4
Guido Bolaños ,https://www.imdb.com//name/nm1320595/?ref_=ttfc_fc_cl_i5
Claudio Brook ,https://www.imdb.com//name/nm0111610/?ref_=ttfc_fc_cl_i6
Wendy Castelo,Claudia,https://www.imdb.com//name/nm1748332/?ref_=ttfc_fc_cl_i7
Roger Cudney ,https://www.imdb.com//name/nm0191053/?ref_=ttfc_fc_cl_i8
Cutberto García,Policía 1,https://www.imdb.com//name/nm10044059/?ref_=ttfc_fc_cl_i9
Clementina Gaudi,Miss Wilson,https://www.imdb.com//name/nm1799791/?ref_=ttfc_fc_cl_i10
Ernesto Gómez Cruz ,https://www.imdb.com//name/nm0350884/?ref_=ttfc_fc_cl_i11
Olga Hernández,Almendra,https://www.imdb.com//name/nm0380087/?ref_=ttfc_fc_cl_i12
Lili Inclán,Abuela,https://www.imdb.com//name/nm0408471/?ref_=ttfc_fc_cl_i13
Eduardo López Rojas ,https://www.imdb.com//name/nm0529931/?ref_=ttfc_fc_cl_i14
Ramón Menéndez,Señor Fernández,(as Ramon Melendez),,,https://www.imdb.com//name/nm1056602/?ref_=ttfc_fc_cl_i15
Luis Carlos Navarro ,https://www.imdb.com//name/nm1830217/?ref_=ttfc_fc_cl_i16
Darío T. Pie ,https://www.imdb.com//name/nm0682089/?ref_=ttfc_fc_cl_i17
Eduardo Shilinsky,Junior Fernández,https://www.imdb.com//name/nm0771733/?ref_=ttfc_fc_cl_i18
Charly Valentino ,https://www.imdb.com//name/nm0884364/?ref_=ttfc_fc_cl_i19
Rocío Yaber,Señora Fernández,https://www.imdb.com//name/nm0944743/?ref_=ttfc_fc_cl_i20
Karina Yapor,Hija de los señores Fernández,(as Karina Yapur),,,https://www.imdb.com//name/nm1801939/?ref_=ttfc_fc_cl_i21
Javier Zaragoza,Policía 2,https://www.imdb.com//name/nm0953341/?ref_=ttfc_fc_cl_i22
